ranked;index;attribute
0.20532;442;job
0.1449;740;table
0.14192;408;id
0.13658;112;action
0.13597;547;oozie
0.10703;239;coordinator
0.10617;839;xml
0.09138;827;workflow
0.08846;379;getstatus
0.08452;615;record
0.07807;447;jpa
0.07528;448;jpaservice
0.07332;677;service
0.07211;820;wf
0.06822;374;getfilesystem
0.06189;240;coordinatoraction
0.06027;142;app
0.05605;201;case
0.05337;320;execute
0.04802;213;cluster
0.04763;736;system
0.0467;313;evaluate
0.0466;648;return
0.04608;262;dateutils
0.04533;754;thenreturn
0.04526;713;status
0.04207;261;date
0.04152;830;workflowjob
0.04007;214;cmd
0.04001;444;jobid
0.03888;40;keywordcount
0.03816;115;actions
0.0379;813;wait
0.03737;569;parsedateoozietz
0.03699;191;bundle
0.03684;275;dfs
0.03661;829;workflowinstance
0.03511;237;coord-action-get
0.03472;119;add
0.03361;548;oozieclient
0.03319;815;waitfor
0.03286;146;apppath
0.03249;435;is_security_enabled
0.03249;381;gettestuser
0.03174;828;workflowaction
0.03143;799;utils
0.03108;530;nodes
0.03062;642;restconstants
0.03062;738;t01
0.0304;56;00
0.03018;766;to
0.03;434;is_
0.02951;372;geterrorcode
0.02951;538;numdatanodes
0.02914;380;gettestcasedir
0.02868;211;client
0.02839;127;addrecordtowfjobtable
0.02823;672;security_
0.0278;706;standardcharsets
0.02765;125;addrecordtobundlejobtable
0.02765;113;action2
0.02738;357;for
0.02663;300;end
0.02636;568;parse
0.02543;682;setsystemproperty
0.02506;294;el
0.02486;809;verify
0.02358;607;randomutils
0.02284;364;functions
0.02247;844;z
0.0223;297;enabled
0.02223;49;//
0.02212;494;matchers
0.02211;652;row
0.0221;371;getcontexturl
0.02171;640;rest
0.02165;363;fs
0.02143;280;dir
0.0214;657;running
0.02137;42;${coord
0.02137;255;dag
0.021;301;end_
0.02063;814;waitactive
0.02063;302;end_points
0.02063;116;actionxml
0.02031;370;getconf
0.02027;241;coordjob
0.02009;257;data
0.02001;182;block
0.01998;687;shutdown
0.01994;655;run
0.01967;667;script
0.01953;582;play
0.01953;841;xmlutils
0.01953;276;dfsconfigkeys
0.01916;739;t23
0.01916;238;coordelfunctions
0.01903;384;given
0.01894;724;stuff
0.01877;12;final_keyword
0.01874;456;kill
0.01868;501;metrics
0.01843;536;num
0.01843;126;addrecordtowfactiontable
0.01829;674;select
0.01812;823;where
0.01807;321;executescripttemplate
0.01807;251;cql
0.0177;265;db
0.0177;507;mockdagengineservice
0.0177;259;datanode
0.0177;124;addrecordtobundleactiontable
0.01733;571;parsexml
0.01733;840;xmlns=
0.01697;122;addnode
0.01683;678;servlet_
0.01672;157;assertnotnull
0.0167;526;nextlong
0.01659;412;immutablemap
0.01659;656;runnable
0.01624;377;getnamenodeuri
0.01624;396;hcat
0.01624;445;jobs
0.01624;216;codec
0.01623;583;points
0.01617;847;}
0.01604;175;bean
0.01601;535;null
0.01599;322;executor
0.01595;788;uri
0.01588;409;id1
0.01579;75;59
0.01544;679;set
0.01537;545;one
0.01514;838;xdatatestcase
0.01514;76;59z
0.01506;274;destroy
0.01491;107;_test
0.01478;776;transit
0.01449;204;channel
0.01446;310;equalto
0.01435;229;connection
0.01407;106;>
0.01405;635;rerun
0.01386;345;file
0.01384;226;conf
0.01371;91;<configuration>
0.01369;47;-oozie
0.01367;23;new_keyword
0.01354;150;array
0.0134;312;eval
0.01332;98;<name-node>
0.01332;86;</job-tracker>
0.01332;87;</name-node>
0.01332;441;jms
0.01332;288;dsl
0.01322;787;update
0.01318;27;public_keyword
0.01313;726;submit
0.01297;215;code
0.01281;155;assertequals
0.0122;411;immutable
0.01217;731;succeeded
0.01208;774;trace
0.01206;311;error
0.01199;152;as
0.01191;188;build
0.01187;770;topic
0.01187;57;0000000-
0.01183;837;x
0.01155;206;check
0.01151;426;interactions
0.01151;694;sla
0.01132;520;name=
0.01114;258;datain
0.01112;423;instance
0.01109;369;getbytes
0.01107;591;print
0.01099;418;init
0.01094;512;months
0.01094;235;content-type
0.01087;346;file1
0.01078;443;job2
0.01076;596;provider
0.01072;758;thrown
0.0106;273;dependency
0.01039;417;info
0.01035;506;mkdirs
0.01021;60;1
0.01007;488;manager
0.01006;741;tablename
0.01006;272;dependencies
0.01006;103;<worklfow-app/>
0.01006;361;frequency=
0.01006;202;cat
0.01004;243;core
0.00996;99;<property>
0.00996;88;</property>
0.00995;761;times
0.00976;334;fail
0.0097;531;nominal
0.0097;764;timezone=
0.0097;52;/>
0.0097;253;crud
0.00958;222;common
0.00955;267;decode
0.00955;465;launcher
0.00941;104;=
0.00938;753;then
0.00938;822;when
0.00934;341;family
0.00934;93;<coordinator-app
0.00934;707;start=
0.00929;299;encoder
0.00921;521;namenode
0.0092;220;command
0.00918;780;two
0.00897;457;killed
0.00897;415;inbuf
0.00897;90;<app-path>hdfs
0.00897;256;dat
0.00897;80;</action>
0.00893;431;ioutils
0.00892;554;options
0.00886;221;commit
0.00865;592;process
0.00865;527;ninja
0.00863;576;pause
0.00861;89;<action>
0.00861;458;kp
0.00861;65;123
0.00861;82;</coordinator-app>
0.00861;260;dataset=
0.00861;729;subworkflow
0.0086;298;encode
0.00856;792;user
0.0084;550;openconnection
0.00828;389;h
0.00825;481;logging
0.00825;360;framework
0.00825;631;replicas
0.00825;95;<dataset
0.00825;85;</java>
0.00825;97;<java>
0.00819;472;list
0.00817;469;lib
0.00815;194;c
0.00815;745;template
0.00797;621;region
0.00792;759;time
0.00789;92;<controls>
0.00789;114;action3
0.00785;117;active
0.00783;140;any
0.00783;268;decoder
0.00772;382;gettime
0.00753;709;startswith
0.00753;572;partition
0.00753;553;optional
0.00753;602;queueservice
0.00753;94;<data-in
0.00753;101;<uri-template>file
0.00753;81;</controls>
0.00753;630;replica
0.00753;476;local_a
0.00751;13;finally_keyword
0.00749;662;sc
0.00749;705;ssl
0.00749;617;recovery
0.00746;164;authentication
0.00746;743;take
0.00743;695;sleep
0.00742;187;buffer
0.0074;189;builder
0.0074;816;waiting
0.00736;304;enqueue
0.00732;789;url
0.00731;475;local_
0.00717;96;<instance>${coord
0.00717;848;}</instance>
0.00717;54;/stuff
0.00717;84;</dataset>
0.00714;190;bulk
0.00706;632;replication
0.00705;303;engine
0.007;234;content
0.00697;609;re
0.00684;775;tracker
0.00682;643;result
0.00681;849;}</value>
0.00681;102;<value>${coord
0.00681;83;</data-in>
0.00675;804;validation
0.00673;252;create
0.00653;21;long_keyword
0.00645;50;//hcat
0.00645;728;subwf
0.00639;271;delete
0.00633;317;example
0.00633;464;latest
0.00633;564;param
0.0063;55;/test
0.00621;499;method
0.00613;703;spy
0.00613;183;blocks
0.00613;700;somehost
0.00609;619;reduce
0.00609;130;advance
0.00596;153;aslist
0.00592;362;from
0.00592;725;sub
0.00591;314;event
0.00591;333;factory
0.00588;606;random
0.00587;16;if_keyword
0.00586;284;do
0.00578;171;base
0.00573;405;https
0.00573;218;column
0.00573;778;trx
0.00572;439;jar
0.00569;574;password
0.00559;375;getmessage
0.00556;708;starts
0.00556;490;mapping
0.00556;292;dump
0.00556;845;zero
0.00555;413;impl
0.00552;549;open
0.00551;533;not
0.00545;528;nn
0.00545;514;mr
0.00543;519;name
0.00543;410;illegal
0.00543;203;chain
0.0054;309;equal
0.00539;67;2
0.00537;653;rows
0.00528;578;pending
0.00521;233;contains
0.00515;670;secret
0.00505;478;locations
0.00505;327;expr
0.00501;495;material
0.00497;765;tmp
0.00496;212;close
0.0049;834;write
0.00484;449;json
0.00482;315;events
0.00482;727;substring
0.00482;328;external
0.00482;264;days
0.00478;368;generic
0.00472;483;long
0.00469;509;mode
0.00465;623;regions
0.0046;181;bind
0.00453;200;capture
0.0045;470;line
0.00443;230;consistency
0.00443;398;hello
